carrier_code,date,flight_number,tail_number,destination_airport,scheduled_departure_time,actual_departure_time,scheduled_elapsed_time,actual_elapsed_time,departure_delay,wheels_off_time,taxi_out_time,delay_carrier,delay_weather,delay_national_aviation_system,delay_security,delay_late_aircraft_arrival
AS,2024-04-01,802,N423AS,SEA,20:22:00,20:18:00,344,339,-4,20:43:00,25,0,0,0,0,0
AS,2024-04-01,816,N469AS,SEA,11:15:00,11:05:00,358,343,-10,11:30:00,25,0,0,0,0,0
AS,2024-04-01,828,N558AS,ANC,21:51:00,21:48:00,377,372,-3,22:10:00,22,0,0,0,0,0
AS,2024-04-01,830,N990AK,SJC,14:00:00,13:43:00,317,316,-17,14:12:00,29,0,0,0,0,0
AS,2024-04-01,834,N920AK,PDX,13:04:00,13:20:00,333,336,16,13:57:00,37,0,0,3,0,16
AS,2024-04-01,848,N486AS,SEA,23:25:00,23:11:00,350,333,-14,23:35:00,24,0,0,0,0,0
AS,2024-04-01,849,N928AK,PAE,14:34:00,14:31:00,345,346,-3,15:00:00,29,0,0,0,0,0
AS,2024-04-01,866,N481AS,LAX,15:29:00,15:23:00,330,360,-6,16:02:00,39,0,0,24,0,0
AS,2024-04-01,876,N974AK,SFO,12:15:00,12:07:00,315,325,-8,12:36:00,29,0,0,0,0,0
AS,2024-04-01,888,N921AK,SEA,07:00:00,06:56:00,357,336,-4,07:15:00,19,0,0,0,0,0
AS,2024-04-01,892,N956AK,SAN,10:45:00,10:40:00,340,335,-5,11:02:00,22,0,0,0,0,0
AS,2024-04-01,896,N468AS,SEA,15:59:00,16:23:00,344,330,24,16:43:00,20,0,0,0,0,0
AS,2024-04-02,802,N928AK,SEA,20:22:00,21:44:00,344,328,82,22:04:00,20,0,0,0,0,66
AS,2024-04-02,816,N481AS,SEA,11:15:00,11:15:00,358,316,0,11:37:00,22,0,0,0,0,0
AS,2024-04-02,828,N942AK,ANC,21:43:00,21:45:00,377,369,2,22:16:00,31,0,0,0,0,0
AS,2024-04-02,830,N943AK,SJC,14:00:00,14:03:00,317,296,3,14:24:00,21,0,0,0,0,0
AS,2024-04-02,834,N933AK,PDX,13:04:00,13:19:00,333,309,15,13:44:00,25,0,0,0,0,0
AS,2024-04-02,848,N952AK,SEA,23:25:00,23:22:00,350,339,-3,23:46:00,24,0,0,0,0,0
AS,2024-04-02,849,N491AS,PAE,14:34:00,14:37:00,345,338,3,15:05:00,28,0,0,0,0,0
AS,2024-04-02,866,N919AK,LAX,15:29:00,15:26:00,330,315,-3,15:45:00,19,0,0,0,0,0
