carrier_code,date,flight_number,tail_number,destination_airport,scheduled_departure_time,actual_departure_time,scheduled_elapsed_time,actual_elapsed_time,departure_delay,wheels_off_time,taxi_out_time,delay_carrier,delay_weather,delay_national_aviation_system,delay_security,delay_late_aircraft_arrival
AS,2023-01-01,88,N938AK,SEA,21:55:00,22:50:00,366,324,55,23:17:00,27,0,0,0,0,0
AS,2023-01-01,708,N459AS,SFO,15:15:00,15:11:00,320,296,-4,15:41:00,30,0,0,0,0,0
AS,2023-01-01,830,N564AS,SJC,13:00:00,13:01:00,320,300,1,13:28:00,27,0,0,0,0,0
AS,2023-01-01,834,N434AS,PDX,17:00:00,16:53:00,340,296,-7,17:11:00,18,0,0,0,0,0
AS,2023-01-01,866,N535AS,LAX,16:20:00,19:36:00,339,302,196,19:57:00,21,0,0,0,0,159
AS,2023-01-01,891,N954AK,SEA,23:50:00,00:00:00,365,0,0,00:00:00,0,0,0,0,0,0
AS,2023-01-01,892,N921AK,SAN,13:40:00,13:50:00,340,325,10,14:24:00,34,0,0,0,0,0
AS,2023-01-01,896,N493AS,SEA,11:50:00,11:57:00,360,334,7,12:24:00,27,0,0,0,0,0
AS,2023-01-01,942,N469AS,SEA,14:45:00,15:14:00,360,331,29,15:32:00,18,0,0,0,0,0
AS,2023-01-01,1422,N402AS,ANC,23:35:00,00:25:00,374,341,50,00:46:00,21,17,0,0,0,0
AS,2023-01-02,88,N973AK,SEA,21:55:00,21:51:00,366,325,-4,22:14:00,23,0,0,0,0,0
AS,2023-01-02,708,N457AS,SFO,15:15:00,20:09:00,320,281,294,20:32:00,23,255,0,0,0,0
AS,2023-01-02,830,N977AK,SJC,13:00:00,13:26:00,320,324,26,13:41:00,15,1,0,4,0,25
AS,2023-01-02,834,N946AK,PDX,17:00:00,18:19:00,340,309,79,18:39:00,20,0,0,0,0,48
AS,2023-01-02,866,N514AS,LAX,16:20:00,20:19:00,339,294,239,20:41:00,22,0,0,0,0,194
AS,2023-01-02,891,N472AS,SEA,23:50:00,00:03:00,365,347,13,00:42:00,39,0,0,0,0,0
AS,2023-01-02,892,N494AS,SAN,13:40:00,16:36:00,340,315,176,17:05:00,29,0,0,0,0,151
AS,2023-01-02,896,N478AS,SEA,11:50:00,11:56:00,360,343,6,12:18:00,22,0,0,0,0,0
AS,2023-01-02,942,N468AS,SEA,14:45:00,15:17:00,360,324,32,15:34:00,17,0,0,0,0,0
AS,2023-01-02,1422,N938AK,ANC,23:35:00,23:58:00,374,365,23,00:30:00,32,0,0,0,0,0
AS,2023-01-03,88,N563AS,SEA,21:55:00,21:57:00,366,327,2,22:19:00,22,0,0,0,0,0
AS,2023-01-03,708,N924AK,SFO,15:15:00,15:21:00,320,292,6,15:40:00,19,0,0,0,0,0
AS,2023-01-03,830,N531AS,SJC,13:00:00,13:08:00,320,285,8,13:32:00,24,0,0,0,0,0
AS,2023-01-03,834,N942AK,PDX,17:00:00,17:01:00,340,318,1,17:31:00,30,0,0,0,0,0
AS,2023-01-03,866,N495AS,LAX,16:20:00,19:30:00,339,302,190,19:50:00,20,0,0,0,0,153
AS,2023-01-03,891,N913AK,SEA,23:50:00,23:59:00,365,332,9,00:25:00,26,0,0,0,0,0
AS,2023-01-03,892,N481AS,SAN,13:40:00,14:05:00,340,314,25,14:25:00,20,0,0,0,0,0
AS,2023-01-03,896,N949AK,SEA,11:50:00,12:19:00,360,331,29,12:47:00,28,0,0,0,0,0
AS,2023-01-03,942,N585AS,SEA,14:45:00,15:58:00,360,314,73,16:16:00,18,0,0,0,0,27
AS,2023-01-03,1422,N974AK,ANC,23:35:00,23:39:00,374,374,4,00:01:00,22,0,0,0,0,0
AS,2023-01-04,88,N918AK,SEA,21:55:00,22:55:00,366,340,60,23:17:00,22,0,0,0,0,34
AS,2023-01-04,708,N584AS,SFO,15:15:00,15:23:00,320,316,8,15:45:00,22,0,0,0,0,0
AS,2023-01-04,830,N514AS,SJC,13:00:00,13:01:00,320,277,1,13:18:00,17,0,0,0,0,0
AS,2023-01-04,834,N933AK,PDX,17:00:00,17:08:00,340,320,8,17:33:00,25,0,0,0,0,0
AS,2023-01-04,866,N564AS,LAX,16:20:00,18:59:00,339,295,159,19:22:00,23,0,0,0,0,115
AS,2023-01-04,891,N560AS,SEA,23:50:00,23:47:00,365,363,-3,00:08:00,21,0,0,0,0,0
AS,2023-01-04,892,N468AS,SAN,13:40:00,13:35:00,340,297,-5,13:59:00,24,0,0,0,0,0
AS,2023-01-04,896,N472AS,SEA,11:50:00,12:07:00,360,341,17,12:34:00,27,0,0,0,0,0
AS,2023-01-04,942,N495AS,SEA,14:45:00,15:15:00,360,338,30,15:36:00,21,0,0,0,0,0
AS,2023-01-04,1422,N926AK,ANC,23:35:00,01:21:00,374,351,106,01:37:00,16,0,0,0,0,83
AS,2023-01-05,88,N926AK,SEA,21:55:00,21:44:00,366,360,-11,22:17:00,33,0,0,0,0,0
AS,2023-01-05,708,N494AS,SFO,15:15:00,15:45:00,320,303,30,16:08:00,23,0,0,0,0,0
AS,2023-01-05,830,N512AS,SJC,13:00:00,13:28:00,320,291,28,13:48:00,20,0,0,0,0,0
AS,2023-01-05,834,N979AK,PDX,17:00:00,17:36:00,340,321,36,17:55:00,19,0,0,0,0,17
AS,2023-01-05,866,N570AS,LAX,16:20:00,23:06:00,339,332,406,23:33:00,27,44,0,0,0,355
AS,2023-01-05,891,N937AK,SEA,23:50:00,00:33:00,365,344,43,00:51:00,18,22,0,0,0,0
AS,2023-01-05,892,N479AS,SAN,13:40:00,13:55:00,340,329,15,14:17:00,22,0,0,0,0,0
AS,2023-01-05,896,N291BT,SEA,11:50:00,11:53:00,360,339,3,12:09:00,16,0,0,0,0,0
AS,2023-01-05,942,N913AK,SEA,14:45:00,15:16:00,360,334,31,15:33:00,17,0,0,0,0,0
AS,2023-01-05,1422,N459AS,ANC,23:35:00,00:12:00,374,359,37,00:32:00,20,22,0,0,0,0
AS,2023-01-06,88,N954AK,SEA,21:55:00,21:56:00,366,321,1,22:15:00,19,0,0,0,0,0
AS,2023-01-06,708,N938AK,SFO,15:15:00,15:06:00,320,295,-9,15:29:00,23,0,0,0,0,0
AS,2023-01-06,830,N590AS,SJC,13:00:00,13:05:00,320,297,5,13:34:00,29,0,0,0,0,0
AS,2023-01-06,834,N953AK,PDX,17:00:00,16:54:00,340,306,-6,17:11:00,17,0,0,0,0,0
AS,2023-01-06,866,N596AS,LAX,16:20:00,16:31:00,339,311,11,16:54:00,23,0,0,0,0,0
AS,2023-01-06,891,N973AK,SEA,23:50:00,23:58:00,365,333,8,00:26:00,28,0,0,0,0,0
AS,2023-01-06,892,N935AK,SAN,13:40:00,13:38:00,340,323,-2,13:59:00,21,0,0,0,0,0
AS,2023-01-06,896,N934AK,SEA,11:50:00,11:45:00,360,328,-5,12:08:00,23,0,0,0,0,0
AS,2023-01-06,942,N409AS,SEA,14:45:00,15:06:00,360,354,21,15:46:00,40,0,0,0,0,15
AS,2023-01-06,1422,N931AK,ANC,23:35:00,00:19:00,374,366,44,00:40:00,21,36,0,0,0,0
AS,2023-01-07,88,N934AK,SEA,21:55:00,21:52:00,366,334,-3,22:20:00,28,0,0,0,0,0
AS,2023-01-07,708,N459AS,SFO,15:15:00,15:09:00,320,298,-6,15:26:00,17,0,0,0,0,0
AS,2023-01-07,830,N518AS,SJC,13:00:00,13:21:00,320,296,21,13:43:00,22,0,0,0,0,0
AS,2023-01-07,834,N408AS,PDX,17:00:00,17:38:00,340,316,38,18:00:00,22,0,0,0,0,0
AS,2023-01-07,866,N513AS,LAX,16:20:00,16:59:00,339,311,39,17:29:00,30,0,0,0,0,0
AS,2023-01-07,891,N926AK,SEA,23:50:00,00:23:00,365,327,33,00:41:00,18,0,0,0,0,0
AS,2023-01-07,892,N291BT,SAN,13:40:00,13:48:00,340,324,8,14:12:00,24,0,0,0,0,0
AS,2023-01-07,896,N974AK,SEA,11:50:00,11:54:00,360,334,4,12:12:00,18,0,0,0,0,0
AS,2023-01-07,942,N924AK,SEA,14:45:00,19:04:00,360,334,259,19:29:00,25,0,0,0,0,233
AS,2023-01-07,1422,N419AS,ANC,23:35:00,23:31:00,374,360,-4,23:53:00,22,0,0,0,0,0
AS,2023-01-08,88,N949AK,SEA,21:55:00,22:23:00,366,338,28,22:48:00,25,0,0,0,0,0
AS,2023-01-08,708,N494AS,SFO,15:25:00,16:09:00,320,284,44,16:38:00,29,0,0,0,0,0
