Detailed Statistics Departures  
Origin Airport: Honolulu, HI: Daniel K Inouye International (HNL)
Airline: Alaska Airlines Inc. (AS)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","01/01/2023","0088","N938AK","SEA","21:55","22:50","366","324","55","23:17","27","0","0","0","0","0"
"AS","01/01/2023","0708","N459AS","SFO","15:15","15:11","320","296","-4","15:41","30","0","0","0","0","0"
"AS","01/01/2023","0830","N564AS","SJC","13:00","13:01","320","300","1","13:28","27","0","0","0","0","0"
"AS","01/01/2023","0834","N434AS","PDX","17:00","16:53","340","296","-7","17:11","18","0","0","0","0","0"
"AS","01/01/2023","0866","N535AS","LAX","16:20","19:36","339","302","196","19:57","21","0","0","0","0","159"
"AS","01/01/2023","0891","N954AK","SEA","23:50","00:00","365","0","0","00:00","0","0","0","0","0","0"
"AS","01/01/2023","0892","N921AK","SAN","13:40","13:50","340","325","10","14:24","34","0","0","0","0","0"
"AS","01/01/2023","0896","N493AS","SEA","11:50","11:57","360","334","7","12:24","27","0","0","0","0","0"
"AS","01/01/2023","0942","N469AS","SEA","14:45","15:14","360","331","29","15:32","18","0","0","0","0","0"
"AS","01/01/2023","1422","N402AS","ANC","23:35","00:25","374","341","50","00:46","21","17","0","0","0","0"
"AS","01/02/2023","0088","N973AK","SEA","21:55","21:51","366","325","-4","22:14","23","0","0","0","0","0"
"AS","01/02/2023","0708","N457AS","SFO","15:15","20:09","320","281","294","20:32","23","255","0","0","0","0"
"AS","01/02/2023","0830","N977AK","SJC","13:00","13:26","320","324","26","13:41","15","1","0","4","0","25"
"AS","01/02/2023","0834","N946AK","PDX","17:00","18:19","340","309","79","18:39","20","0","0","0","0","48"
"AS","01/02/2023","0866","N514AS","LAX","16:20","20:19","339","294","239","20:41","22","0","0","0","0","194"
"AS","01/02/2023","0891","N472AS","SEA","23:50","00:03","365","347","13","00:42","39","0","0","0","0","0"
"AS","01/02/2023","0892","N494AS","SAN","13:40","16:36","340","315","176","17:05","29","0","0","0","0","151"
"AS","01/02/2023","0896","N478AS","SEA","11:50","11:56","360","343","6","12:18","22","0","0","0","0","0"
"AS","01/02/2023","0942","N468AS","SEA","14:45","15:17","360","324","32","15:34","17","0","0","0","0","0"
"AS","01/02/2023","1422","N938AK","ANC","23:35","23:58","374","365","23","00:30","32","0","0","0","0","0"
"AS","01/03/2023","0088","N563AS","SEA","21:55","21:57","366","327","2","22:19","22","0","0","0","0","0"
"AS","01/03/2023","0708","N924AK","SFO","15:15","15:21","320","292","6","15:40","19","0","0","0","0","0"
"AS","01/03/2023","0830","N531AS","SJC","13:00","13:08","320","285","8","13:32","24","0","0","0","0","0"
"AS","01/03/2023","0834","N942AK","PDX","17:00","17:01","340","318","1","17:31","30","0","0","0","0","0"
"AS","01/03/2023","0866","N495AS","LAX","16:20","19:30","339","302","190","19:50","20","0","0","0","0","153"
