Detailed Statistics Departures  
Origin Airport: Honolulu, HI: Daniel K Inouye International (HNL)
Airline: Alaska Airlines Inc. (AS)
Month(s): March
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","03/01/2023","0802","N492AS","SEA","21:05","21:18","355","335","13","21:33","15","0","0","0","0","0"
"AS","03/01/2023","0828","N956AK","ANC","23:45","23:36","368","378","-9","00:04","28","0","0","0","0","0"
"AS","03/01/2023","0834","N407AS","PDX","16:55","17:10","340","335","15","17:29","19","0","0","0","0","0"
"AS","03/01/2023","0848","N462AS","SEA","23:55","23:48","355","354","-7","00:12","24","0","0","0","0","0"
"AS","03/01/2023","0866","N935AK","LAX","16:20","16:22","330","338","2","16:42","20","0","0","0","0","0"
"AS","03/01/2023","0876","N464AS","SFO","13:45","13:48","313","319","3","14:09","21","0","0","0","0","0"
"AS","03/01/2023","0888","N434AS","SEA","12:10","12:06","355","373","-4","12:34","28","0","0","0","0","0"
"AS","03/01/2023","0892","N978AK","SAN","14:40","14:38","330","337","-2","14:56","18","0","0","0","0","0"
"AS","03/01/2023","0896","N570AS","SEA","15:20","15:26","355","349","6","15:45","19","0","0","0","0","0"
"AS","03/02/2023","0802","N956AK","SEA","21:05","22:12","355","359","67","22:38","26","30","0","4","0","37"
"AS","03/02/2023","0828","N934AK","ANC","23:45","23:54","368","387","9","00:26","32","0","0","19","0","9"
"AS","03/02/2023","0830","N493AS","SJC","13:10","13:27","314","302","17","13:47","20","0","0","0","0","0"
"AS","03/02/2023","0834","N978AK","PDX","16:55","17:13","340","320","18","17:31","18","0","0","0","0","0"
"AS","03/02/2023","0848","N929AK","SEA","23:55","00:42","355","355","47","01:08","26","0","0","0","0","47"
