Detailed Statistics Departures  
Origin Airport: Honolulu, HI: Daniel K Inouye International (HNL)
Airline: Alaska Airlines Inc. (AS)
Month(s): April
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","04/01/2023","0802","N423AS","SEA","20:30","20:31","345","336","1","20:55","24","0","0","0","0","0"
"AS","04/01/2023","0828","N467AS","ANC","22:30","22:26","375","365","-4","22:49","23","0","0","0","0","0"
"AS","04/01/2023","0830","N428AS","SJC","12:55","13:13","312","310","18","13:36","23","16","0","0","0","0"
"AS","04/01/2023","0834","N402AS","PDX","16:20","16:38","335","325","18","17:01","23","0","0","0","0","0"
"AS","04/01/2023","0848","N431AS","SEA","22:40","23:37","350","343","57","23:58","21","0","0","0","0","50"
"AS","04/01/2023","0866","N588AS","LAX","12:20","12:16","334","348","-4","12:46","30","0","0","0","0","0"
"AS","04/01/2023","0876","N563AS","SFO","13:45","00:00","320","0","0","00:00","0","0","0","0","0","0"
"AS","04/01/2023","0888","N953AK","SEA","11:20","11:24","356","338","4","11:45","21","0","0","0","0","0"
"AS","04/01/2023","0892","N935AK","SAN","14:50","14:38","335","343","-12","15:09","31","0","0","0","0","0"
"AS","04/02/2023","0802","N477AS","SEA","20:30","20:24","345","360","-6","20:51","27","0","0","0","0","0"
"AS","04/02/2023","0828","N468AS","ANC","23:00","00:29","375","357","89","00:46","17","0","71","0","0","0"
"AS","04/02/2023","0830","N978AK","SJC","12:55","13:04","312","311","9","13:33","29","0","0","0","0","0"
"AS","04/02/2023","0834","N929AK","PDX","16:20","17:08","335","340","48","17:32","24","0","0","5","0","48"
"AS","04/02/2023","0848","N464AS","SEA","22:40","00:41","350","352","121","00:57","16","121","0","2","0","0"
"AS","04/02/2023","0866","N583AS","LAX","12:20","12:43","334","331","23","13:05","22","20","0","0","0","0"
"AS","04/02/2023","0876","N533AS","SFO","13:45","14:07","320","323","22","14:36","29","0","8","3","0","14"
"AS","04/02/2023","0888","N946AK","SEA","11:20","11:13","356","356","-7","11:41","28","0","0","0","0","0"
"AS","04/02/2023","0892","N919AK","SAN","14:50","15:56","335","319","66","16:17","21","0","0","0","0","50"
"AS","04/02/2023","0896","N974AK","SEA","15:15","15:59","344","346","44","16:23","24","44","0","2","0","0"
