Detailed Statistics Departures  
Origin Airport: Honolulu, HI: Daniel K Inouye International (HNL)
Airline: Alaska Airlines Inc. (AS)
Month(s): June
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","06/01/2023","0802","N486AS","SEA","21:10","21:02","353","326","-8","21:24","22","0","0","0","0","0"
"AS","06/01/2023","0828","N459AS","ANC","22:55","23:50","365","409","55","00:13","23","0","0","99","0","0"
"AS","06/01/2023","0830","N442AS","SJC","12:20","12:21","319","304","1","12:46","25","0","0","0","0","0"
"AS","06/01/2023","0834","N579AS","PDX","16:25","16:30","334","324","5","16:55","25","0","0","0","0","0"
"AS","06/01/2023","0848","N919AK","SEA","23:20","23:10","353","322","-10","23:31","21","0","0","0","0","0"
"AS","06/01/2023","0866","N920AK","LAX","10:55","11:01","344","313","6","11:22","21","0","0","0","0","0"
"AS","06/01/2023","0876","N516AS","SFO","13:50","13:42","322","298","-8","14:03","21","0","0","0","0","0"
"AS","06/01/2023","0888","N972AK","SEA","11:20","11:29","353","330","9","11:50","21","0","0","0","0","0"
"AS","06/01/2023","0892","N512AS","SAN","15:15","15:10","344","311","-5","15:25","15","0","0","0","0","0"
"AS","06/01/2023","0896","N953AK","SEA","14:40","14:57","351","339","17","15:20","23","0","0","0","0","0"
"AS","06/02/2023","0802","N459AS","SEA","21:10","21:03","353","349","-7","21:31","28","0","0","0","0","0"
"AS","06/02/2023","0828","N919AK","ANC","22:55","23:12","365","345","17","23:28","16","0","0","0","0","0"
"AS","06/02/2023","0830","N955AK","SJC","12:20","12:56","319","303","36","13:20","24","20","0","0","0","0"
"AS","06/02/2023","0834","N563AS","PDX","16:25","17:57","334","329","92","18:22","25","0","0","0","0","87"
"AS","06/02/2023","0848","N978AK","SEA","23:20","23:17","353","361","-3","23:47","30","0","0","0","0","0"
"AS","06/02/2023","0866","N423AS","LAX","10:55","11:14","344","322","19","11:45","31","0","0","0","0","0"
"AS","06/02/2023","0876","N512AS","SFO","13:50","13:50","322","299","0","14:07","17","0","0","0","0","0"
"AS","06/02/2023","0888","N407AS","SEA","11:20","12:01","353","337","41","12:18","17","25","0","0","0","0"
"AS","06/02/2023","0892","N935AK","SAN","15:15","15:44","344","315","29","16:09","25","0","0","0","0","0"
"AS","06/02/2023","0896","N974AK","SEA","14:40","14:44","351","348","4","15:12","28","0","0","0","0","0"
"AS","06/03/2023","0802","N964AK","SEA","21:10","21:07","353","360","-3","21:30","23","0","0","0","0","0"
"AS","06/03/2023","0828","N918AK","ANC","22:55","22:46","365","343","-9","23:05","19","0","0","0","0","0"
"AS","06/03/2023","0830","N946AK","SJC","12:20","12:21","319","300","1","12:41","20","0","0","0","0","0"
