Detailed Statistics Departures  
Origin Airport: Honolulu, HI: Daniel K Inouye International (HNL)
Airline: Alaska Airlines Inc. (AS)
Month(s): August
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","08/01/2023","0802","N468AS","SEA","20:45","20:28","349","347","-17","20:49","21","0","0","0","0","0"
"AS","08/01/2023","0828","N938AK","ANC","21:45","21:41","367","375","-4","22:07","26","0","0","0","0","0"
"AS","08/01/2023","0830","N964AK","SJC","12:40","12:44","312","304","4","13:07","23","0","0","0","0","0"
"AS","08/01/2023","0834","N936AK","PDX","15:30","15:54","329","335","24","16:19","25","0","0","6","0","24"
"AS","08/01/2023","0848","N558AS","SEA","23:29","23:23","350","355","-6","23:47","24","0","0","0","0","0"
"AS","08/01/2023","0866","N924AK","LAX","15:15","15:10","333","325","-5","15:38","28","0","0","0","0","0"
"AS","08/01/2023","0871","N929AK","SFO","22:55","22:48","310","302","-7","23:12","24","0","0","0","0","0"
"AS","08/01/2023","0876","N462AS","SFO","11:15","11:18","312","311","3","11:46","28","0","0","0","0","0"
"AS","08/01/2023","0881","N968AK","SEA","07:00","07:01","355","344","1","07:24","23","0","0","0","0","0"
"AS","08/01/2023","0888","N955AK","SEA","10:35","10:48","355","355","13","11:12","24","0","0","0","0","0"
"AS","08/01/2023","0892","N913AK","SAN","13:10","13:25","340","330","15","13:58","33","0","0","0","0","0"
"AS","08/01/2023","0896","N931AK","SEA","14:05","14:01","356","352","-4","14:25","24","0","0","0","0","0"
"AS","08/02/2023","0802","N407AS","SEA","20:45","20:39","349","351","-6","21:03","24","0","0","0","0","0"
"AS","08/02/2023","0828","N967AK","ANC","21:45","21:37","367","457","-8","23:16","99","0","0","82","0","0"
"AS","08/02/2023","0830","N977AK","SJC","12:40","12:35","312","303","-5","12:58","23","0","0","0","0","0"
"AS","08/02/2023","0834","N915AK","PDX","15:30","15:50","329","332","20","16:09","19","6","0","3","0","14"
"AS","08/02/2023","0848","N562AS","SEA","23:29","24:00","350","359","31","00:28","28","31","0","9","0","0"
"AS","08/02/2023","0866","N918AK","LAX","15:15","15:10","333","320","-5","15:32","22","0","0","0","0","0"
"AS","08/02/2023","0871","N954AK","SFO","22:55","23:32","310","299","37","23:49","17","26","0","0","0","0"
"AS","08/02/2023","0876","N440AS","SFO","11:15","11:09","312","307","-6","11:37","28","0","0","0","0","0"
"AS","08/02/2023","0881","N937AK","SEA","07:00","06:59","355","347","-1","07:24","25","0","0","0","0","0"
"AS","08/02/2023","0888","N974AK","SEA","10:35","10:29","355","341","-6","10:47","18","0","0","0","0","0"
"AS","08/02/2023","0892","N495AS","SAN","13:10","13:18","340","322","8","13:48","30","0","0","0","0","0"
