Detailed Statistics Departures  
Origin Airport: Honolulu, HI: Daniel K Inouye International (HNL)
Airline: Alaska Airlines Inc. (AS)
Month(s): September
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","09/01/2023","0802","N481AS","SEA","20:45","20:35","353","347","-10","20:52","17","0","0","0","0","0"
"AS","09/01/2023","0828","N976AK","ANC","21:55","21:50","369","352","-5","22:07","17","0","0","0","0","0"
"AS","09/01/2023","0830","N961AK","SJC","12:40","12:30","311","314","-10","12:56","26","0","0","0","0","0"
"AS","09/01/2023","0834","N493AS","PDX","15:30","16:33","329","355","63","16:54","21","63","0","26","0","0"
"AS","09/01/2023","0848","N968AK","SEA","23:25","23:21","355","366","-4","23:44","23","0","0","0","0","0"
"AS","09/01/2023","0866","N913AK","LAX","15:15","15:11","337","337","-4","15:32","21","0","0","0","0","0"
"AS","09/01/2023","0871","N407AS","SFO","22:55","22:42","310","305","-13","23:01","19","0","0","0","0","0"
"AS","09/01/2023","0876","N440AS","SFO","11:10","11:14","310","309","4","11:34","20","0","0","0","0","0"
"AS","09/01/2023","0881","N469AS","SEA","07:00","07:06","354","373","6","07:34","28","6","0","19","0","0"
"AS","09/01/2023","0888","N472AS","SEA","10:35","10:36","350","372","1","11:06","30","0","0","23","0","0"
"AS","09/01/2023","0892","N952AK","SAN","13:10","13:05","334","343","-5","13:32","27","0","0","0","0","0"
"AS","09/01/2023","0896","N933AK","SEA","14:05","14:10","353","374","5","14:39","29","0","0","26","0","0"
"AS","09/02/2023","0802","N956AK","SEA","20:45","20:43","353","364","-2","21:15","32","0","0","0","0","0"
"AS","09/02/2023","0828","N973AK","ANC","21:55","21:52","369","354","-3","22:12","20","0","0","0","0","0"
"AS","09/02/2023","0830","N955AK","SJC","12:40","12:34","311","310","-6","12:55","21","0","0","0","0","0"
"AS","09/02/2023","0834","N933AK","PDX","15:30","15:27","329","361","-3","16:05","38","0","0","29","0","0"
"AS","09/02/2023","0848","N982AK","SEA","23:25","23:17","355","357","-8","23:37","20","0","0","0","0","0"
"AS","09/02/2023","0866","N407AS","LAX","15:20","15:28","337","349","8","15:56","28","8","0","12","0","0"
"AS","09/02/2023","0871","N517AS","SFO","22:55","22:44","310","323","-11","23:07","23","0","0","0","0","0"
"AS","09/02/2023","0876","N918AK","SFO","11:10","11:05","310","311","-5","11:26","21","0","0","0","0","0"
"AS","09/02/2023","0881","N966AK","SEA","07:00","06:59","354","358","-1","07:18","19","0","0","0","0","0"
"AS","09/02/2023","0888","N461AS","SEA","10:35","10:29","350","374","-6","11:02","33","0","0","18","0","0"
"AS","09/02/2023","0892","N478AS","SAN","13:10","13:09","334","334","-1","13:30","21","0","0","0","0","0"
"AS","09/02/2023","0896","N964AK","SEA","14:05","13:54","353","368","-11","14:21","27","0","0","0","0","0"
"AS","09/03/2023","0802","N464AS","SEA","20:45","20:44","353","347","-1","21:03","19","0","0","0","0","0"
"AS","09/03/2023","0828","N958AK","ANC","21:55","21:42","369","367","-13","22:04","22","0","0","0","0","0"
"AS","09/03/2023","0830","N291BT","SJC","12:40","12:33","311","314","-7","12:59","26","0","0","0","0","0"
"AS","09/03/2023","0834","N983AK","PDX","15:30","15:31","329","330","1","15:51","20","0","0","0","0","0"
"AS","09/03/2023","0848","N985AK","SEA","23:25","23:13","355","361","-12","23:35","22","0","0","0","0","0"
"AS","09/03/2023","0866","N494AS","LAX","15:15","15:17","337","325","2","15:39","22","0","0","0","0","0"
"AS","09/03/2023","0871","N596AS","SFO","22:55","22:52","310","299","-3","23:11","19","0","0","0","0","0"
"AS","09/03/2023","0876","N954AK","SFO","11:10","10:56","310","308","-14","11:20","24","0","0","0","0","0"
"AS","09/03/2023","0881","N403AS","SEA","07:00","06:57","354","348","-3","07:20","23","0","0","0","0","0"
"AS","09/03/2023","0888","N962AK","SEA","10:35","10:30","350","351","-5","10:53","23","0","0","0","0","0"
"AS","09/03/2023","0892","N495AS","SAN","13:10","13:11","334","323","1","13:34","23","0","0","0","0","0"
"AS","09/03/2023","0896","N955AK","SEA","14:05","14:09","353","358","4","14:32","23","0","0","0","0","0"
"AS","09/04/2023","0802","N477AS","SEA","20:45","20:44","353","331","-1","21:02","18","0","0","0","0","0"
"AS","09/04/2023","0828","N493AS","ANC","21:55","21:45","369","370","-10","22:10","25","0","0","0","0","0"
"AS","09/04/2023","0830","N403AS","SJC","12:40","12:33","311","305","-7","12:56","23","0","0","0","0","0"
"AS","09/04/2023","0834","N968AK","PDX","15:30","15:30","329","329","0","15:51","21","0","0","0","0","0"
"AS","09/04/2023","0848","N958AK","SEA","23:25","23:28","355","340","3","23:45","17","0","0","0","0","0"
"AS","09/04/2023","0866","N407AS","LAX","15:15","15:08","337","345","-7","15:27","19","0","0","0","0","0"
"AS","09/04/2023","0871","N534AS","SFO","22:55","22:44","310","288","-11","23:02","18","0","0","0","0","0"
"AS","09/04/2023","0876","N956AK","SFO","11:10","11:02","310","299","-8","11:24","22","0","0","0","0","0"
"AS","09/04/2023","0881","N478AS","SEA","07:00","06:52","354","357","-8","07:18","26","0","0","0","0","0"
"AS","09/04/2023","0888","N921AK","SEA","10:35","10:31","350","354","-4","10:52","21","0","0","0","0","0"
"AS","09/04/2023","0892","N435AS","SAN","13:10","13:01","334","318","-9","13:25","24","0","0","0","0","0"
"AS","09/04/2023","0896","N942AK","SEA","14:05","14:32","353","348","27","14:51","19","0","0","0","0","22"
"AS","09/05/2023","0802","N493AS","SEA","20:45","20:38","353","333","-7","20:54","16","0","0","0","0","0"
"AS","09/05/2023","0828","N495AS","ANC","21:55","21:52","369","365","-3","22:11","19","0","0","0","0","0"
"AS","09/05/2023","0830","N962AK","SJC","12:40","12:43","311","313","3","13:16","33","0","0","0","0","0"
"AS","09/05/2023","0834","N961AK","PDX","15:30","16:06","329","321","36","16:27","21","0","0","0","0","28"
"AS","09/05/2023","0848","N956AK","SEA","23:25","23:11","355","357","-14","23:43","32","0","0","0","0","0"
"AS","09/05/2023","0866","N474AS","LAX","15:15","17:18","337","324","123","17:47","29","0","0","0","0","110"
"AS","09/05/2023","0871","N974AK","SFO","22:55","22:49","310","311","-6","23:16","27","0","0","0","0","0"
"AS","09/05/2023","0876","N973AK","SFO","11:10","11:19","310","293","9","11:37","18","0","0","0","0","0"
"AS","09/05/2023","0881","N964AK","SEA","07:00","00:00","354","0","0","00:00","0","0","0","0","0","0"
"AS","09/05/2023","0888","N955AK","SEA","10:35","10:35","350","338","0","10:51","16","0","0","0","0","0"
"AS","09/05/2023","0892","N938AK","SAN","13:10","13:02","334","330","-8","13:31","29","0","0","0","0","0"
"AS","09/05/2023","0896","N960AK","SEA","14:05","15:24","353","345","79","15:58","34","0","0","0","0","71"
"AS","09/06/2023","0802","N487AS","SEA","20:20","20:17","359","338","-3","20:41","24","0","0","0","0","0"
"AS","09/06/2023","0804","N419AS","SFO","22:40","22:33","305","287","-7","22:54","21","0","0","0","0","0"
"AS","09/06/2023","0816","N403AS","SEA","07:00","06:55","354","332","-5","07:19","24","0","0","0","0","0"
"AS","09/06/2023","0828","N486AS","ANC","22:00","21:51","370","361","-9","22:14","23","0","0","0","0","0"
"AS","09/06/2023","0830","N960AK","SJC","12:25","12:49","315","294","24","13:12","23","0","0","0","0","0"
"AS","09/06/2023","0834","N491AS","PDX","15:35","15:30","334","331","-5","15:54","24","0","0","0","0","0"
"AS","09/06/2023","0848","N919AK","SEA","23:32","23:31","363","343","-1","23:52","21","0","0","0","0","0"
"AS","09/06/2023","0866","N435AS","LAX","15:10","15:15","328","312","5","15:34","19","0","0","0","0","0"
"AS","09/06/2023","0876","N462AS","SFO","11:40","11:57","305","296","17","12:17","20","0","0","0","0","0"
"AS","09/06/2023","0888","N976AK","SEA","10:36","10:55","359","327","19","11:13","18","0","0","0","0","0"
"AS","09/06/2023","0892","N917AK","SAN","13:20","13:27","336","320","7","13:52","25","0","0","0","0","0"
"AS","09/06/2023","0896","N969AK","SEA","14:00","14:14","359","335","14","14:34","20","0","0","0","0","0"
"AS","09/07/2023","0802","N942AK","SEA","20:20","20:18","359","336","-2","20:41","23","0","0","0","0","0"
"AS","09/07/2023","0804","N976AK","SFO","22:40","23:09","305","276","29","23:25","16","0","0","0","0","0"
"AS","09/07/2023","0816","N984AK","SEA","07:00","06:58","354","341","-2","07:22","24","0","0","0","0","0"
"AS","09/07/2023","0828","N495AS","ANC","22:00","21:44","370","351","-16","22:08","24","0","0","0","0","0"
"AS","09/07/2023","0830","N492AS","SJC","12:25","12:26","315","294","1","12:49","23","0","0","0","0","0"
"AS","09/07/2023","0834","N494AS","PDX","15:35","15:44","334","327","9","16:06","22","0","0","0","0","0"
"AS","09/07/2023","0848","N487AS","SEA","23:32","23:26","363","347","-6","23:52","26","0","0","0","0","0"
"AS","09/07/2023","0866","N956AK","LAX","15:10","15:14","328","307","4","15:31","17","0","0","0","0","0"
"AS","09/07/2023","0876","N478AS","SFO","11:40","12:21","305","286","41","12:42","21","22","0","0","0","0"
"AS","09/07/2023","0888","N493AS","SEA","10:36","10:42","359","354","6","11:12","30","0","0","0","0","0"
"AS","09/07/2023","0892","N931AK","SAN","13:20","13:26","336","302","6","13:44","18","0","0","0","0","0"
"AS","09/07/2023","0896","N918AK","SEA","14:00","14:37","359","350","37","15:03","26","28","0","0","0","0"
"AS","09/08/2023","0802","N920AK","SEA","20:20","21:03","359","326","43","21:21","18","0","0","0","0","0"
"AS","09/08/2023","0804","N921AK","SFO","22:40","22:38","305","289","-2","22:56","18","0","0","0","0","0"
"AS","09/08/2023","0816","N493AS","SEA","07:00","06:52","354","349","-8","07:19","27","0","0","0","0","0"
"AS","09/08/2023","0828","N462AS","ANC","22:00","21:47","370","379","-13","22:04","17","0","0","0","0","0"
"AS","09/08/2023","0830","N913AK","SJC","12:25","12:38","315","279","13","12:57","19","0","0","0","0","0"
"AS","09/08/2023","0834","N459AS","PDX","15:35","15:53","334","331","18","16:23","30","15","0","0","0","0"
"AS","09/08/2023","0848","N974AK","SEA","23:32","23:20","363","337","-12","23:39","19","0","0","0","0","0"
"AS","09/08/2023","0866","N477AS","LAX","15:10","15:12","328","313","2","15:38","26","0","0","0","0","0"
"AS","09/08/2023","0876","N949AK","SFO","11:40","11:48","305","279","8","12:08","20","0","0","0","0","0"
"AS","09/08/2023","0888","N954AK","SEA","10:36","11:02","359","331","26","11:21","19","0","0","0","0","0"
"AS","09/08/2023","0892","N409AS","SAN","13:20","13:28","336","315","8","13:49","21","0","0","0","0","0"
"AS","09/08/2023","0896","N958AK","SEA","14:00","14:15","359","332","15","14:35","20","0","0","0","0","0"
"AS","09/09/2023","0802","N974AK","SEA","20:20","21:28","359","341","68","21:49","21","0","0","0","0","50"
"AS","09/09/2023","0804","N982AK","SFO","22:40","23:10","305","283","30","23:30","20","0","0","0","0","0"
"AS","09/09/2023","0816","N491AS","SEA","07:00","06:55","354","354","-5","07:25","30","0","0","0","0","0"
