Detailed Statistics Departures  
Origin Airport: Honolulu, HI: Daniel K Inouye International (HNL)
Airline: Alaska Airlines Inc. (AS)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","10/01/2023","0802","N943AK","SEA","20:10","20:01","358","345","-9","20:23","22","0","0","0","0","0"
"AS","10/01/2023","0804","N536AS","SFO","22:40","22:40","315","305","0","22:59","19","0","0","0","0","0"
"AS","10/01/2023","0816","N968AK","SEA","07:00","06:56","360","356","-4","07:23","27","0","0","0","0","0"
"AS","10/01/2023","0820","N932AK","SAN","12:40","12:37","342","351","-3","13:05","28","0","0","0","0","0"
"AS","10/01/2023","0828","N921AK","ANC","22:00","21:38","362","362","-22","22:07","29","0","0","0","0","0"
"AS","10/01/2023","0830","N924AK","SJC","12:05","11:52","318","320","-13","12:29","37","0","0","0","0","0"
"AS","10/01/2023","0834","N984AK","PDX","15:40","15:29","339","330","-11","15:49","20","0","0","0","0","0"
"AS","10/01/2023","0848","N589AS","SEA","23:30","23:29","355","352","-1","23:46","17","0","0","0","0","0"
"AS","10/01/2023","0866","N941AK","LAX","15:15","15:08","342","336","-7","15:35","27","0","0","0","0","0"
"AS","10/01/2023","0876","N938AK","SFO","10:35","10:32","320","302","-3","10:49","17","0","0","0","0","0"
"AS","10/01/2023","0888","N469AS","SEA","11:00","10:55","359","347","-5","11:19","24","0","0","0","0","0"
"AS","10/01/2023","0896","N936AK","SEA","14:10","14:02","358","347","-8","14:27","25","0","0","0","0","0"
"AS","10/02/2023","0802","N967AK","SEA","20:10","20:07","358","345","-3","20:32","25","0","0","0","0","0"
"AS","10/02/2023","0804","N978AK","SFO","22:40","22:43","315","307","3","23:06","23","0","0","0","0","0"
"AS","10/02/2023","0816","N953AK","SEA","07:00","06:53","360","340","-7","07:16","23","0","0","0","0","0"
