Detailed Statistics Departures  
Origin Airport: Honolulu, HI: Daniel K Inouye International (HNL)
Airline: Alaska Airlines Inc. (AS)
Month(s): November
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","11/01/2023","0802","N903AK","SEA","20:10","20:21","358","364","11","20:47","26","0","0","6","0","11"
"AS","11/01/2023","0804","N942AK","SFO","22:40","23:30","315","307","50","23:50","20","0","0","0","0","42"
"AS","11/01/2023","0816","N479AS","SEA","07:00","06:54","360","354","-6","07:29","35","0","0","0","0","0"
"AS","11/01/2023","0828","N530AS","ANC","22:00","22:57","362","361","57","23:22","25","0","0","0","0","56"
"AS","11/01/2023","0830","N964AK","SJC","12:40","12:44","318","306","4","13:10","26","0","0","0","0","0"
"AS","11/01/2023","0834","N982AK","PDX","15:40","16:47","339","318","67","17:11","24","12","0","0","0","34"
"AS","11/01/2023","0848","N943AK","SEA","23:30","23:20","355","371","-10","23:39","19","0","0","0","0","0"
"AS","11/01/2023","0866","N929AK","LAX","15:15","15:01","342","374","-14","15:25","24","0","0","18","0","0"
"AS","11/01/2023","0876","N926AK","SFO","11:00","10:53","320","295","-7","11:07","14","0","0","0","0","0"
"AS","11/01/2023","0888","N990AK","SEA","10:35","10:33","359","336","-2","10:55","22","0","0","0","0","0"
"AS","11/01/2023","0892","N963AK","SAN","13:19","13:20","342","335","1","13:35","15","0","0","0","0","0"
"AS","11/01/2023","0896","N433AS","SEA","14:10","15:12","358","342","62","15:33","21","46","0","0","0","0"
"AS","11/02/2023","0802","N972AK","SEA","20:10","20:17","358","349","7","20:47","30","0","0","0","0","0"
"AS","11/02/2023","0804","N472AS","SFO","22:40","22:42","315","307","2","23:05","23","0","0","0","0","0"
"AS","11/02/2023","0816","N990AK","SEA","07:00","06:47","360","344","-13","07:14","27","0","0","0","0","0"
"AS","11/02/2023","0828","N973AK","ANC","22:00","21:50","362","360","-10","22:08","18","0","0","0","0","0"
