Detailed Statistics Departures  
Origin Airport: Honolulu, HI: Daniel K Inouye International (HNL)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2023","0802","N462AS","SEA","21:00","20:49","360","342","-11","21:18","29","0","0","0","0","0"
"AS","12/01/2023","0804","N937AK","PAE","23:30","23:33","363","338","3","23:54","21","0","0","0","0","0"
"AS","12/01/2023","0816","N457AS","SEA","12:14","12:05","357","354","-9","12:38","33","0","0","0","0","0"
"AS","12/01/2023","0828","N464AS","ANC","22:12","21:56","375","336","-16","22:15","19","0","0","0","0","0"
"AS","12/01/2023","0830","N938AK","SJC","16:40","16:37","319","300","-3","16:59","22","0","0","0","0","0"
"AS","12/01/2023","0834","N433AS","PDX","15:25","17:49","338","333","144","18:21","32","0","0","0","0","139"
"AS","12/01/2023","0848","N968AK","SEA","23:59","00:40","360","342","41","01:00","20","0","0","0","0","23"
"AS","12/01/2023","0866","N972AK","LAX","14:36","14:30","335","324","-6","14:50","20","0","0","0","0","0"
"AS","12/01/2023","0876","N964AK","SFO","11:57","11:56","316","309","-1","12:25","29","0","0","0","0","0"
"AS","12/01/2023","0888","N955AK","SEA","07:00","07:09","357","338","9","07:25","16","0","0","0","0","0"
"AS","12/01/2023","0892","N982AK","SAN","13:25","13:22","340","326","-3","13:45","23","0","0","0","0","0"
"AS","12/01/2023","0896","N963AK","SEA","17:00","17:10","357","337","10","17:30","20","0","0","0","0","0"
"AS","12/02/2023","0802","N984AK","SEA","21:00","20:59","360","325","-1","21:21","22","0","0","0","0","0"
"AS","12/02/2023","0804","N491AS","PAE","23:30","23:23","363","340","-7","23:38","15","0","0","0","0","0"
"AS","12/02/2023","0816","N972AK","SEA","12:14","12:12","357","342","-2","12:38","26","0","0","0","0","0"
"AS","12/02/2023","0828","N570AS","ANC","22:12","22:06","375","369","-6","22:27","21","0","0","0","0","0"
"AS","12/02/2023","0830","N949AK","SJC","16:40","00:00","319","0","0","00:00","0","0","0","0","0","0"
"AS","12/02/2023","0834","N461AS","PDX","15:25","15:16","338","324","-9","15:47","31","0","0","0","0","0"
"AS","12/02/2023","0848","N990AK","SEA","23:59","23:57","360","340","-2","00:20","23","0","0","0","0","0"
"AS","12/02/2023","0866","N937AK","LAX","14:36","15:24","335","335","48","15:58","34","19","0","0","0","29"
"AS","12/02/2023","0876","N938AK","SFO","11:57","11:51","316","306","-6","12:14","23","0","0","0","0","0"
"AS","12/02/2023","0888","N474AS","SEA","07:00","06:56","359","337","-4","07:17","21","0","0","0","0","0"
"AS","12/02/2023","0892","N947AK","SAN","13:25","13:30","340","319","5","13:47","17","0","0","0","0","0"
"AS","12/02/2023","0896","N707AL","SEA","17:00","16:53","357","325","-7","17:15","22","0","0","0","0","0"
"AS","12/03/2023","0802","N442AS","SEA","21:00","20:50","360","332","-10","21:15","25","0","0","0","0","0"
"AS","12/03/2023","0804","N974AK","PAE","23:30","23:13","363","347","-17","23:41","28","0","0","0","0","0"
"AS","12/03/2023","0816","N958AK","SEA","12:14","12:17","357","348","3","12:37","20","0","0","0","0","0"
"AS","12/03/2023","0828","N566AS","ANC","22:12","22:08","375","343","-4","22:25","17","0","0","0","0","0"
"AS","12/03/2023","0830","N494AS","SJC","16:40","16:35","319","319","-5","17:01","26","0","0","0","0","0"
"AS","12/03/2023","0834","N448AS","PDX","15:25","15:08","338","329","-17","15:29","21","0","0","0","0","0"
"AS","12/03/2023","0848","N912AK","SEA","23:59","23:50","360","329","-9","00:07","17","0","0","0","0","0"
"AS","12/03/2023","0866","N491AS","LAX","14:36","14:30","335","338","-6","14:48","18","0","0","0","0","0"
"AS","12/03/2023","0876","N943AK","SFO","11:57","11:50","316","315","-7","12:14","24","0","0","0","0","0"
"AS","12/03/2023","0888","N478AS","SEA","07:00","07:01","359","361","1","07:21","20","0","0","0","0","0"
"AS","12/03/2023","0892","N474AS","SAN","13:25","13:25","340","352","0","14:05","40","0","0","0","0","0"
"AS","12/03/2023","0896","N408AS","SEA","17:00","16:54","357","331","-6","17:08","14","0","0","0","0","0"
"AS","12/04/2023","0802","N958AK","SEA","21:00","20:47","360","309","-13","21:11","24","0","0","0","0","0"
"AS","12/04/2023","0804","N946AK","PAE","23:30","23:23","363","338","-7","23:51","28","0","0","0","0","0"
"AS","12/04/2023","0816","N937AK","SEA","12:14","12:08","357","315","-6","12:28","20","0","0","0","0","0"
