Detailed Statistics Departures  
Origin Airport: Honolulu, HI: Daniel K Inouye International (HNL)
Airline: Alaska Airlines Inc. (AS)
Month(s): February
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2024

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","02/01/2024","0802","N915AK","SEA","21:20","22:15","355","313","55","22:42","27","0","0","0","0","0"
"AS","02/01/2024","0804","N495AS","PAE","13:15","15:56","340","316","161","16:19","23","0","0","0","0","137"
"AS","02/01/2024","0816","N467AS","SEA","11:42","12:08","358","317","26","12:28","20","0","0","0","0","0"
"AS","02/01/2024","0828","N934AK","ANC","23:05","23:31","367","352","26","23:55","24","0","0","0","0","0"
"AS","02/01/2024","0830","N464AS","SJC","14:45","15:39","310","276","54","15:58","19","0","0","0","0","20"
"AS","02/01/2024","0834","N920AK","PDX","12:28","14:11","341","310","103","14:45","34","0","0","0","0","72"
"AS","02/01/2024","0848","N941AK","SEA","23:59","23:51","355","317","-8","00:14","23","0","0","0","0","0"
"AS","02/01/2024","0866","N442AS","LAX","16:26","17:52","333","286","86","18:19","27","0","0","0","0","39"
"AS","02/01/2024","0876","N705AL","SFO","16:48","16:52","311","281","4","17:14","22","0","0","0","0","0"
"AS","02/01/2024","0888","N933AK","SEA","07:00","06:52","355","320","-8","07:18","26","0","0","0","0","0"
"AS","02/01/2024","0892","N962AK","SAN","13:55","14:05","340","298","10","14:26","21","0","0","0","0","0"
"AS","02/01/2024","0896","N468AS","SEA","15:20","17:22","358","310","122","17:45","23","0","0","0","0","74"
"AS","02/02/2024","0802","N801AK","SEA","21:20","21:14","355","310","-6","21:33","19","0","0","0","0","0"
"AS","02/02/2024","0804","N291BT","PAE","13:15","13:52","340","336","37","14:36","44","0","0","0","0","33"
"AS","02/02/2024","0816","N434AS","SEA","11:42","12:55","358","321","73","13:18","23","0","0","0","0","36"
"AS","02/02/2024","0828","N919AK","ANC","23:05","23:01","367","378","-4","23:23","22","0","0","0","0","0"
"AS","02/02/2024","0830","N912AK","SJC","14:45","15:04","310","262","19","15:27","23","0","0","0","0","0"
"AS","02/02/2024","0834","N920AK","PDX","12:28","15:17","341","292","169","15:42","25","0","0","0","0","120"
"AS","02/02/2024","0848","N483AS","SEA","23:59","00:06","355","318","7","00:26","20","0","0","0","0","0"
