Detailed Statistics Departures  
Origin Airport: Honolulu, HI: Daniel K Inouye International (HNL)
Airline: Alaska Airlines Inc. (AS)
Month(s): May
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2024

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","05/01/2024","0802","N928AK","SEA","21:20","21:20","348","336","0","21:39","19","0","0","0","0","0"
"AS","05/01/2024","0816","N434AS","SEA","10:41","10:47","351","338","6","11:03","16","0","0","0","0","0"
"AS","05/01/2024","0828","N913AK","ANC","22:22","22:11","365","346","-11","22:32","21","0","0","0","0","0"
"AS","05/01/2024","0830","N937AK","SJC","12:51","12:44","309","307","-7","13:05","21","0","0","0","0","0"
"AS","05/01/2024","0834","N975AK","PDX","12:08","12:06","337","331","-2","12:29","23","0","0","0","0","0"
"AS","05/01/2024","0849","N946AK","PAE","14:27","14:07","338","353","-20","14:31","24","0","0","0","0","0"
"AS","05/01/2024","0866","N483AS","LAX","15:24","15:14","334","322","-10","15:37","23","0","0","0","0","0"
"AS","05/01/2024","0876","N428AS","SFO","13:59","13:54","317","315","-5","14:20","26","0","0","0","0","0"
"AS","05/01/2024","0888","N472AS","SEA","07:00","06:57","354","348","-3","07:15","18","0","0","0","0","0"
"AS","05/01/2024","0892","N934AK","SAN","11:08","11:00","335","332","-8","11:28","28","0","0","0","0","0"
"AS","05/01/2024","0896","N961AK","SEA","15:59","15:57","348","350","-2","16:22","25","0","0","0","0","0"
"AS","05/02/2024","0802","N978AK","SEA","21:20","23:29","348","365","129","23:55","26","10","0","17","0","119"
"AS","05/02/2024","0816","N937AK","SEA","10:41","10:38","351","342","-3","11:00","22","0","0","0","0","0"
"AS","05/02/2024","0828","N536AS","ANC","22:22","00:03","365","367","101","00:22","19","3","0","2","0","98"
"AS","05/02/2024","0830","N971AK","SJC","12:51","12:46","309","308","-5","13:07","21","0","0","0","0","0"
"AS","05/02/2024","0834","N516AS","PDX","12:08","12:11","337","329","3","12:28","17","0","0","0","0","0"
"AS","05/02/2024","0849","N963AK","PAE","14:27","14:13","338","352","-14","14:36","23","0","0","0","0","0"
"AS","05/02/2024","0866","N935AK","LAX","15:24","17:26","334","329","122","17:44","18","16","0","0","0","101"
"AS","05/02/2024","0876","N946AK","SFO","13:59","13:55","317","311","-4","14:16","21","0","0","0","0","0"
"AS","05/02/2024","0888","N977AK","SEA","07:00","07:00","354","355","0","07:25","25","0","0","0","0","0"
"AS","05/02/2024","0892","N442AS","SAN","11:08","10:58","335","322","-10","11:17","19","0","0","0","0","0"
"AS","05/02/2024","0896","N934AK","SEA","15:59","15:56","348","337","-3","16:16","20","0","0","0","0","0"
"AS","05/03/2024","0802","N960AK","SEA","20:30","20:20","348","348","-10","20:42","22","0","0","0","0","0"
"AS","05/03/2024","0816","N971AK","SEA","10:41","11:00","351","349","19","11:21","21","17","0","0","0","0"
"AS","05/03/2024","0828","N479AS","ANC","22:22","22:24","365","342","2","22:40","16","0","0","0","0","0"
"AS","05/03/2024","0830","N409AS","SJC","12:51","12:42","309","313","-9","13:01","19","0","0","0","0","0"
"AS","05/03/2024","0834","N518AS","PDX","12:08","12:04","337","346","-4","12:28","24","0","0","0","0","0"
"AS","05/03/2024","0849","N933AK","PAE","14:27","14:13","338","364","-14","14:37","24","0","0","0","0","0"
"AS","05/03/2024","0866","N519AS","LAX","15:24","18:59","334","333","215","19:16","17","214","0","0","0","0"
"AS","05/03/2024","0876","N918AK","SFO","13:59","13:50","317","352","-9","14:18","28","0","0","26","0","0"
"AS","05/03/2024","0886","N493AS","SEA","23:40","23:26","350","358","-14","23:49","23","0","0","0","0","0"
"AS","05/03/2024","0888","N929AK","SEA","07:00","06:56","354","343","-4","07:13","17","0","0","0","0","0"
"AS","05/03/2024","0892","N912AK","SAN","11:08","11:00","335","337","-8","11:33","33","0","0","0","0","0"
"AS","05/03/2024","0896","N937AK","SEA","15:59","16:01","348","353","2","16:22","21","0","0","0","0","0"
"AS","05/04/2024","0802","N956AK","SEA","20:30","20:29","348","350","-1","20:51","22","0","0","0","0","0"
"AS","05/04/2024","0816","N409AS","SEA","10:41","10:34","351","381","-7","11:05","31","0","0","23","0","0"
"AS","05/04/2024","0828","N934AK","ANC","22:22","22:13","365","361","-9","22:38","25","0","0","0","0","0"
"AS","05/04/2024","0834","N933AK","PDX","12:08","13:15","337","359","67","13:40","25","0","0","22","0","67"
"AS","05/04/2024","0838","N937AK","SJC","14:27","14:25","309","312","-2","14:46","21","0","0","0","0","0"
"AS","05/04/2024","0847","N464AS","PAE","12:51","12:45","338","356","-6","13:01","16","0","0","0","0","0"
"AS","05/04/2024","0866","N954AK","LAX","15:24","15:41","334","332","17","15:59","18","0","0","0","0","15"
"AS","05/04/2024","0876","N974AK","SFO","13:59","14:24","317","331","25","15:01","37","0","0","14","0","25"
"AS","05/04/2024","0886","N985AK","SEA","23:40","23:36","350","359","-4","23:54","18","0","0","0","0","0"
"AS","05/04/2024","0888","N483AS","SEA","07:00","06:53","354","362","-7","07:20","27","0","0","0","0","0"
"AS","05/04/2024","0892","N920AK","SAN","11:08","11:30","335","334","22","11:54","24","0","0","0","0","21"
"AS","05/04/2024","0896","N983AK","SEA","15:59","15:53","348","354","-6","16:11","18","0","0","0","0","0"
"AS","05/05/2024","0802","N442AS","SEA","20:30","20:33","348","340","3","20:55","22","0","0","0","0","0"
"AS","05/05/2024","0816","N937AK","SEA","10:41","10:34","351","345","-7","10:56","22","0","0","0","0","0"
"AS","05/05/2024","0828","N947AK","ANC","22:22","23:38","365","361","76","23:54","16","0","0","0","0","72"
"AS","05/05/2024","0830","N453AS","SJC","12:51","14:11","309","311","80","14:33","22","80","0","2","0","0"
"AS","05/05/2024","0834","N563AS","PDX","12:08","12:53","337","334","45","13:20","27","42","0","0","0","0"
"AS","05/05/2024","0849","N931AK","PAE","14:27","14:25","338","349","-2","14:48","23","0","0","0","0","0"
"AS","05/05/2024","0866","N932AK","LAX","15:24","15:25","334","327","1","15:42","17","0","0","0","0","0"
"AS","05/05/2024","0876","N464AS","SFO","13:59","13:53","317","320","-6","14:21","28","0","0","0","0","0"
"AS","05/05/2024","0886","N596AS","SEA","23:40","23:41","350","363","1","00:05","24","0","0","0","0","0"
"AS","05/05/2024","0888","N960AK","SEA","07:00","06:55","354","355","-5","07:23","28","0","0","0","0","0"
"AS","05/05/2024","0892","N929AK","SAN","11:08","11:04","335","336","-4","11:28","24","0","0","0","0","0"
"AS","05/05/2024","0896","N917AK","SEA","15:59","15:53","348","360","-6","16:20","27","0","0","0","0","0"
