Detailed Statistics Departures  
Origin Airport: Honolulu, HI: Daniel K Inouye International (HNL)
Airline: Alaska Airlines Inc. (AS)
Month(s): July
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2024

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","07/01/2024","0293","N531AS","SEA","23:00","23:35","350","357","35","24:00","25","5","0","7","0","30"
"AS","07/01/2024","0571","N464AS","SFO","21:35","21:22","310","315","-13","21:47","25","0","0","0","0","0"
"AS","07/01/2024","0802","N976AK","SEA","20:10","20:06","350","335","-4","20:26","20","0","0","0","0","0"
"AS","07/01/2024","0816","N968AK","SEA","10:32","10:27","353","345","-5","10:49","22","0","0","0","0","0"
"AS","07/01/2024","0828","N937AK","ANC","21:07","21:00","373","322","-7","21:23","23","0","0","0","0","0"
"AS","07/01/2024","0830","N952AK","SJC","15:48","15:45","311","322","-3","16:08","23","0","0","0","0","0"
"AS","07/01/2024","0834","N928AK","PDX","12:00","11:57","330","335","-3","12:22","25","0","0","0","0","0"
"AS","07/01/2024","0866","N958AK","LAX","14:05","14:00","340","342","-5","14:24","24","0","0","0","0","0"
"AS","07/01/2024","0876","N495AS","SFO","13:18","13:12","307","321","-6","13:39","27","0","0","0","0","0"
"AS","07/01/2024","0888","N408AS","SEA","07:00","06:56","353","349","-4","07:21","25","0","0","0","0","0"
"AS","07/01/2024","0892","N440AS","SAN","11:04","11:11","337","361","7","11:36","25","7","0","24","0","0"
"AS","07/01/2024","0896","N407AS","SEA","15:09","15:01","350","349","-8","15:21","20","0","0","0","0","0"
"AS","07/01/2024","1110","N962AK","SAN","22:38","22:33","337","352","-5","23:06","33","0","0","0","0","0"
"AS","07/02/2024","0293","N566AS","SEA","23:00","22:53","350","344","-7","23:21","28","0","0","0","0","0"
"AS","07/02/2024","0571","N419AS","SFO","21:35","21:25","310","316","-10","21:53","28","0","0","0","0","0"
"AS","07/02/2024","0802","N932AK","SEA","20:10","20:09","350","344","-1","20:34","25","0","0","0","0","0"
"AS","07/02/2024","0816","N703AL","SEA","10:32","11:26","353","332","54","11:47","21","0","0","0","0","33"
"AS","07/02/2024","0828","N919AK","ANC","21:07","20:54","373","348","-13","21:24","30","0","0","0","0","0"
"AS","07/02/2024","0830","N720AL","SJC","15:48","16:03","311","306","15","16:18","15","0","0","0","0","0"
"AS","07/02/2024","0834","N954AK","PDX","12:00","12:29","330","329","29","12:56","27","12","0","0","0","16"
"AS","07/02/2024","0866","N931AK","LAX","14:05","13:57","340","351","-8","14:24","27","0","0","0","0","0"
"AS","07/02/2024","0876","N471AS","SFO","13:18","13:12","307","324","-6","13:45","33","0","0","0","0","0"
"AS","07/02/2024","0888","N961AK","SEA","07:00","07:05","353","336","5","07:23","18","0","0","0","0","0"
"AS","07/02/2024","0892","N915AK","SAN","11:04","10:59","337","380","-5","11:22","23","0","0","38","0","0"
"AS","07/02/2024","0896","N483AS","SEA","15:09","15:02","350","352","-7","15:21","19","0","0","0","0","0"
"AS","07/02/2024","1110","N560AS","SAN","22:38","22:54","337","344","16","23:13","19","0","0","7","0","16"
"AS","07/03/2024","0293","N590AS","SEA","23:00","22:55","350","343","-5","23:29","34","0","0","0","0","0"
"AS","07/03/2024","0571","N924AK","SFO","21:35","21:26","310","312","-9","21:52","26","0","0","0","0","0"
"AS","07/03/2024","0802","N491AS","SEA","20:10","20:00","350","329","-10","20:22","22","0","0","0","0","0"
"AS","07/03/2024","0816","N720AL","SEA","10:32","10:21","353","333","-11","10:45","24","0","0","0","0","0"
"AS","07/03/2024","0828","N952AK","ANC","21:07","21:00","373","354","-7","21:17","17","0","0","0","0","0"
"AS","07/03/2024","0830","N407AS","SJC","15:48","16:06","311","323","18","16:38","32","0","0","12","0","18"
"AS","07/03/2024","0834","N481AS","PDX","12:00","11:50","330","331","-10","12:18","28","0","0","0","0","0"
"AS","07/03/2024","0866","N953AK","LAX","14:05","16:08","340","333","123","16:26","18","116","0","0","0","0"
"AS","07/03/2024","0876","N291BT","SFO","13:18","13:18","307","318","0","13:44","26","0","0","0","0","0"
"AS","07/03/2024","0888","N928AK","SEA","07:00","06:49","353","341","-11","07:13","24","0","0","0","0","0"
"AS","07/03/2024","0892","N949AK","SAN","11:04","10:54","337","333","-10","11:10","16","0","0","0","0","0"
"AS","07/03/2024","0896","N479AS","SEA","15:09","15:03","350","344","-6","15:25","22","0","0","0","0","0"
"AS","07/03/2024","1110","N586AS","SAN","22:38","22:52","337","346","14","23:22","30","0","0","9","0","14"
"AS","07/04/2024","0293","N518AS","SEA","23:00","22:56","350","336","-4","23:17","21","0","0","0","0","0"
"AS","07/04/2024","0571","N956AK","SFO","21:35","22:41","310","305","66","23:02","21","61","0","0","0","0"
"AS","07/04/2024","0802","N919AK","SEA","20:10","20:09","350","333","-1","20:35","26","0","0","0","0","0"
"AS","07/04/2024","0816","N407AS","SEA","10:32","10:18","353","331","-14","10:35","17","0","0","0","0","0"
"AS","07/04/2024","0828","N928AK","ANC","21:07","21:00","373","366","-7","21:20","20","0","0","0","0","0"
"AS","07/04/2024","0830","N487AS","SJC","15:48","15:43","311","315","-5","16:05","22","0","0","0","0","0"
"AS","07/04/2024","0834","N408AS","PDX","12:00","11:54","330","324","-6","12:15","21","0","0","0","0","0"
"AS","07/04/2024","0866","N708AL","LAX","14:05","14:02","340","322","-3","14:17","15","0","0","0","0","0"
"AS","07/04/2024","0876","N932AK","SFO","13:18","13:10","307","303","-8","13:27","17","0","0","0","0","0"
"AS","07/04/2024","0888","N709AL","SEA","07:00","07:04","353","330","4","07:21","17","0","0","0","0","0"
"AS","07/04/2024","0892","N457AS","SAN","11:04","10:53","337","345","-11","11:14","21","0","0","0","0","0"
"AS","07/04/2024","0896","N472AS","SEA","15:09","14:55","350","339","-14","15:17","22","0","0","0","0","0"
"AS","07/04/2024","1110","N924AK","SAN","22:38","23:12","337","323","34","23:29","17","0","0","0","0","20"
"AS","07/05/2024","0293","N529AS","SEA","23:00","22:55","350","332","-5","23:18","23","0","0","0","0","0"
"AS","07/05/2024","0571","N919AK","SFO","21:35","21:29","310","314","-6","21:57","28","0","0","0","0","0"
"AS","07/05/2024","0802","N978AK","SEA","20:10","20:09","350","329","-1","20:28","19","0","0","0","0","0"
"AS","07/05/2024","0816","N487AS","SEA","10:32","10:25","353","339","-7","10:57","32","0","0","0","0","0"
"AS","07/05/2024","0828","N493AS","ANC","21:07","21:01","373","358","-6","21:23","22","0","0","0","0","0"
"AS","07/05/2024","0830","N705AL","SJC","15:48","16:12","311","315","24","16:40","28","0","0","4","0","24"
"AS","07/05/2024","0834","N722AL","PDX","12:00","12:29","330","317","29","12:48","19","16","0","0","0","0"
"AS","07/05/2024","0866","N984AK","LAX","14:05","14:13","340","343","8","14:46","33","0","0","0","0","0"
"AS","07/05/2024","0876","N946AK","SFO","13:18","13:13","307","309","-5","13:40","27","0","0","0","0","0"
"AS","07/05/2024","0888","N459AS","SEA","07:00","06:59","353","338","-1","07:24","25","0","0","0","0","0"
"AS","07/05/2024","0892","N915AK","SAN","11:04","11:02","337","332","-2","11:25","23","0","0","0","0","0"
"AS","07/05/2024","0896","N935AK","SEA","15:09","15:53","350","328","44","16:11","18","22","0","0","0","0"
"AS","07/05/2024","1110","N536AS","SAN","22:38","22:30","337","371","-8","22:51","21","0","0","26","0","0"
"AS","07/06/2024","0293","N706AL","SEA","23:00","22:54","350","323","-6","23:12","18","0","0","0","0","0"
"AS","07/06/2024","0571","N955AK","SFO","21:35","21:26","310","303","-9","21:45","19","0","0","0","0","0"
"AS","07/06/2024","0802","N440AS","SEA","20:10","20:01","350","328","-9","20:25","24","0","0","0","0","0"
"AS","07/06/2024","0816","N942AK","SEA","10:32","10:23","353","334","-9","10:45","22","0","0","0","0","0"
"AS","07/06/2024","0828","N495AS","ANC","21:07","20:55","373","352","-12","21:12","17","0","0","0","0","0"
"AS","07/06/2024","0830","N985AK","SJC","15:48","16:03","311","295","15","16:18","15","0","0","0","0","0"
"AS","07/06/2024","0834","N976AK","PDX","12:00","11:50","330","326","-10","12:14","24","0","0","0","0","0"
"AS","07/06/2024","0866","N590AS","LAX","14:05","14:51","340","353","46","15:15","24","2","0","13","0","44"
"AS","07/06/2024","0876","N487AS","SFO","13:18","13:08","307","306","-10","13:30","22","0","0","0","0","0"
"AS","07/06/2024","0888","N921AK","SEA","07:00","06:53","353","330","-7","07:17","24","0","0","0","0","0"
"AS","07/06/2024","0892","N478AS","SAN","11:04","10:55","337","337","-9","11:14","19","0","0","0","0","0"
"AS","07/06/2024","0896","N403AS","SEA","15:09","15:28","350","322","19","15:46","18","0","0","0","0","0"
"AS","07/06/2024","1110","N946AK","SAN","22:38","22:36","337","347","-2","22:52","16","0","0","0","0","0"
"AS","07/07/2024","0293","N570AS","SEA","23:00","22:53","350","332","-7","23:11","18","0","0","0","0","0"
"AS","07/07/2024","0571","N903AK","SFO","21:35","21:29","310","302","-6","21:47","18","0","0","0","0","0"
